Material;Centro;Tipo de avaliação;Texto breve de material;Última modificação;Tipo de material;Grupo de mercadorias;Unid.medida básica;Grupo de compradores;Código ABC;Tipo de MRP;Classe de avaliação;Controle de preço;Preço;Moeda;Unidade preço;Criado por;Centro Origem
10000410;D050;;RGT TSH ESTREPTAVIDINA 200T ELEC ROCHE;20/05/2020;ZROH;AC;KIT;070;B;ND;3000;V;41,84;BRL;1;C29407541878;D484
10000415;D050;;SAMPLE PROB NOZZLE MODULAR E170 ROCHE;20/04/2020;ZROH;AC;UN;070;C;ZM;3020;V;73,24;BRL;1;C29407541878;D050
10000417;D050;;RGT INTEGRA HAPTOGLOB COBAS C 100T ROCHE;13/05/2020;ZROH;AC;KIT;070;C;ZM;3000;V;0,00;BRL;1;C29407541878;D050
10000419;D050;;FILME DVE DRY 6850 20X25 C/125 KODAK;15/05/2020;ZROH;RDI;CX;056;C;ND;3000;V;117,32;BRL;1;C29407541878;D289
10000448;D050;;AGUL RAQUI DESC 22G7 LONGA BD;15/05/2020;ZROH;RDI;UN;056;C;ZM;3020;V;30,53;BRL;1;C29407541878;D043
10000482;D050;;CATETER 1VIA N8 OXIGENIO;08/05/2020;ZROH;MAT MED;UN;056;C;ZM;3020;V;0,53;BRL;1;C29407541878;D289
10000487;D050;;RGT AST N239 TSA G NEG NOSOC BMX;20/05/2020;ZROH;AC;KIT;056;C;PD;3000;V;160,00;BRL;1;C29407541878;D019
10000488;D050;;MEIO CULT HETEROTROFICOBAC MA R2A PROBAC;20/05/2020;ZROH;AC;PAC;056;C;PD;3020;V;23,97;BRL;1;C29407541878;D043
10000516;D050;;SONDA NASOGASTRICA N10;16/04/2020;ZROH;RDI;UN;056;C;ZM;3020;V;0,97;BRL;1;C29407541878;D044
10000517;D050;;RGT AST TSA GRAM POS BMX;19/05/2020;ZROH;AC;KIT;056;C;ND;3000;V;155,98;BRL;1;C29407541878;D019
10000548;D050;;RGT STAR TEM ROTEM 100T GMBH;12/04/2020;ZROH;AC;KIT;056;C;PD;3000;V;2.000,00;BRL;1;C29407541878;D050
10000552;D050;;RGT REXTEM ROTEM GMBH 100T GMBH;11/05/2020;ZROH;AC;KIT;056;C;PD;3000;V;2.500,00;BRL;1;C29407541878;D217
10000555;D050;;RGT BETA HCG ARCH 100T ABBOTT;12/04/2020;ZROH;AC;KIT;056;C;PD;3000;V;83,92;BRL;1;C29407541878;X002
10000558;D050;;RGT INTEM ROTEM 100T GMBH;12/04/2020;ZROH;AC;KIT;056;C;PD;3000;V;2.200,00;BRL;1;C29407541878;D221
10000561;D050;;RGT FIBTEM ROTEM GMBH 50T GMBH;02/05/2020;ZROH;AC;KIT;056;C;PD;3000;V;2.300,00;BRL;1;C29407541878;D044
10000562;D050;;CLB BETA HCG ARCH C/6 4ML ABBOTT;12/04/2020;ZROH;AC;KIT;056;C;PD;3000;V;243,00;BRL;1;C29407541878;D221
10000564;D050;;RGT HEPTEM ROTEM GMBH 70T GMBH;02/05/2020;ZROH;AC;KIT;056;C;PD;3000;V;3.000,00;BRL;1;C29407541878;D044
10000568;D050;;TB DE TRANS 4ML GBO;20/05/2020;ZROH;MAT MED;UN;056;A;VV;3020;V;0,19;BRL;1;C29407541878;D277
10000569;D050;;RGT APTEM ROTEM GMBH 50T GMBH;24/04/2020;ZROH;AC;KIT;056;C;PD;3000;V;2.200,00;BRL;1;C29407541878;D050
10000570;D050;;RGT BNP ARCH 100T ABBOTT;12/04/2020;ZROH;AC;KIT;056;A;PD;3000;V;1.805,76;BRL;1;C29407541878;D044
10000571;D050;;RGT PROTEINA C C/6 120T 3ML STAGO;01/05/2020;ZROH;AC;KIT;056;A;PD;3000;V;1.391,06;BRL;1;C29407541878;D474
10000572;D050;;CTR ROTROL N ROTEM GMBH;12/04/2020;ZROH;AC;KIT;056;C;PD;3000;V;1.300,00;BRL;1;C29407541878;D044
10000574;D050;;ESPECULO PP P/VIRGEM ADLIN;29/04/2020;ZROH;MAT MED;UN;056;C;ZM;3020;V;0,00;BRL;1;C29407541878;D093
10000575;D050;;CLB BNP ARCH C/6 4ML ABBOTT;12/04/2020;ZROH;AC;KIT;056;C;PD;3000;V;297,99;BRL;1;C29407541878;D050
10000576;D050;;ESPECULO PQ VAG S/LUBRIF ESTL K.PLAST;15/05/2020;ZROH;MAT MED;UN;056;C;PD;3020;V;0,84;BRL;1;C29407541878;D561
10000577;D050;;CTR ROTROL P ROTEM GMBH;12/04/2020;ZROH;AC;KIT;056;C;PD;3000;V;1.500,00;BRL;1;C29407541878;D407
10000578;D050;;RGT FATOR V 6X1ML 84T STAGO;24/04/2020;ZROH;AC;KIT;056;C;ZM;3000;V;0,00;BRL;1;C29407541878;D044
10000580;D050;;ANTICORP MARCAD 7AAD BD;13/04/2020;ZROH;AC;FR;056;C;PD;3000;V;279,39;BRL;1;C29407541878;D043
10000581;D050;;CTR BNP ARCH 3X8ML ABBOTT;12/05/2020;ZROH;AC;KIT;056;C;PD;3000;V;274,78;BRL;1;C29407541878;D407
10000582;D050;;PONT 96 ROTEM GMBH (DUPL) 10014711;12/05/2020;ZROH;AC;UN;056;C;ND;3020;V;1,16;BRL;1;C29407541878;D044
10000583;D050;;FITA IMPRESS HITACHI ROCHE;06/05/2020;ZROH;AC;UN;070;C;ZM;3000;V;201,96;BRL;1;C29407541878;D093
10000585;D050;;FITA PVC VM 48X50M;19/05/2020;ZROH;AC;RL;056;C;ND;3020;V;3,49;BRL;1;C29407541878;D316
10000586;D050;;RGT FATOR VIII C/6 84T 1ML STAGO;24/04/2020;ZROH;AC;KIT;056;C;PD;3000;V;211,31;BRL;1;C29407541878;D093
10000587;D050;;RGT LIPASE CHEMISTRY 778T ABBOTT;24/04/2020;ZROH;AC;KIT;056;C;PD;3000;V;84,02;BRL;1;C29407541878;X038
10000588;D050;;RGT NT PROBNP2 VIDA 60T BMX;19/05/2020;ZROH;AC;KIT;056;A;PD;3000;V;2.510,00;BRL;1;C29407541878;D355
10000589;D050;;RGT FATOR IX 6X1ML 84T STAGO;24/04/2020;ZROH;AC;KIT;056;C;PD;3000;V;211,31;BRL;1;C29407541878;D474
10000590;D050;;MANGUIT P GRAV ABPM04 INF MICROMED;08/05/2020;ZROH;RDI;UN;056;C;PD;3020;V;390,00;BRL;1;C29407541878;D043
10000591;D050;;MANGUIT G P/GRAV ABPM04 MICROMED;08/05/2020;ZROH;RDI;UN;056;C;PD;3020;V;390,00;BRL;1;C29407541878;D043
10000592;D050;;CLB LIPASE CHEMISTRY C/2 3ML ABBOTT;24/04/2020;ZROH;AC;KIT;056;C;PD;3000;V;226,80;BRL;1;C29407541878;D221
10000596;D050;;RGT FATOR VII C/6 84T 1ML STAGO;04/05/2020;ZROH;AC;KIT;056;C;PD;3000;V;347,32;BRL;1;C29407541878;D491
10000597;D050;;ESTETOSCOP GAMMA 3.2 HEINE ADUL IDEAL;15/05/2020;ZROH;RDI;UN;056;C;PD;3020;V;580,00;BRL;1;C29407541878;D091
10000598;D050;;ESPECULO MD VAG S/LUBRIF ESTL K.PLAST;08/05/2020;ZROH;MAT MED;UN;056;C;PD;3020;V;1,01;BRL;1;C29407541878;D648
10000599;D050;;CLB GENTAMICINA ARCH ABBOTT;03/04/2020;ZROH;AC;KIT;056;C;ZM;3000;V;312,89;BRL;1;C29407541878;D407
10000600;D050;;PIP VID DESC VHS EMBL PLAST GLOBAL;20/05/2020;ZROH;AC;UN;056;B;PD;3000;V;1,70;BRL;1;C29407541878;D491
10000601;D050;;RGT GENTAMICINA ARCH 100T ABBOTT;03/04/2020;ZROH;AC;KIT;056;C;ND;3000;V;0,00;BRL;1;C29407541878;D116
10000602;D050;;RGT FATOR X C/6 84T 1ML STAGO;02/05/2020;ZROH;AC;KIT;056;C;PD;3000;V;182,39;BRL;1;C29407541878;D474
10000604;D050;;RGT FATOR II 6X1ML 84T STAGO;24/04/2020;ZROH;AC;KIT;056;C;PD;3000;V;63,01;BRL;1;C29407541878;D489
10000605;D050;;RGT CART GEM 3.5 B/H/L/L 300T WERFEN;12/05/2020;ZROH;AC;CR;056;C;ZM;3000;V;0,00;BRL;1;C29407541878;D340
10000607;D050;;GEL P/ULTRASSOM 5L;08/05/2020;ZROH;RDI;GL;056;C;ZM;3020;V;0,00;BRL;1;C29407541878;D443
10000608;D050;;RGT TRIGLICERIDES 2 ADVIA 1448T SIEMENS;04/05/2020;ZROH;AC;KIT;056;B;PD;3000;V;39,77;BRL;1;C29407541878;D489
10000612;D050;;RGT VWF AG C/4 190T 5ML STAGO;04/05/2020;ZROH;AC;KIT;056;C;PD;3000;V;890,03;BRL;1;C29407541878;D491
10000613;D050;;RGT DIMERO D C/6 190T 5ML STAGO;04/05/2020;ZROH;AC;KIT;056;C;ND;3000;V;1.549,47;BRL;1;C29407541878;X029
10000614;D050;;PROPRANOLOL C/30 40MG;08/05/2020;ZROH;PRÉ-ANALI;CX;056;C;ND;3020;V;5,88;BRL;1;C29407541878;D106
10000616;D050;;ANTICORP CD8 FITC 2ML BD;03/04/2020;ZROH;AC;FR;056;C;ZM;3000;V;1.035,15;BRL;1;C29407541878;D491
10000617;D050;;SONDA FOLEY N6;08/05/2020;ZROH;RDI;UN;056;C;ZM;3020;V;60,52;BRL;1;C29407541878;D044
10000619;D050;;SONDA RETAL PLAST N10;03/04/2020;ZROH;RDI;UN;056;C;ND;3020;V;0,54;BRL;1;C29407541878;D050
10000621;D050;;ANTICORP MOUSE IG COMPBEADS 6ML BD;03/04/2020;ZROH;AC;FR;056;C;ZM;3000;V;986,91;BRL;1;C29407541878;D492
10000623;D050;;RGT DG GEL DC SCAN C/25 50T GRIFOLS;24/04/2020;ZROH;AC;KIT;056;C;ZM;3000;V;500,00;BRL;1;C29407541878;D043
10000625;D050;;PAP TERM TIPO Z 30 A 240 BPM GE;15/04/2020;ZROH;AC;BL;056;C;PD;3020;V;26,08;BRL;1;C29407541878;D147
10000626;D050;;RGT PROTEINA S C/2 42T 1ML STAGO;24/04/2020;ZROH;AC;KIT;056;A;PD;3000;V;426,24;BRL;1;C29407541878;D491
10000627;D050;;RGT TB AG MPT64 CASS 25T BIOEASY;06/05/2020;ZROH;AC;KIT;056;C;PD;3000;V;196,33;BRL;1;C29407541878;D093
10000630;D050;;SULF INJ 10% 10ML;03/04/2020;ZROH;MAT MED;AM;056;C;ZM;3020;V;0,00;BRL;1;C29407541878;D043
10000631;D050;;MARCAD BIOP P US 12G TRIMARK;15/05/2020;ZROH;RDI;UN;056;C;PD;3020;V;210,00;BRL;1;C29407541878;D020
10000632;D050;;TELEBRIX 30 50ML GUERBET;12/05/2020;ZROH;MAT MED;FR;056;C;PD;3000;V;17,00;BRL;1;C29407541878;D174
10000633;D050;;TELEBRIX 35 20ML GUERBET;04/05/2020;ZROH;MAT MED;FR;056;C;ND;3000;V;0,00;BRL;1;C29407541878;D477
10000634;D050;;RGT TIRA DETERM OXIDASE C/20 PROBAC;12/05/2020;ZROH;AC;FR;056;C;ZM;3000;V;0,00;BRL;1;C29407541878;D043
10000635;D050;;FR BC AUTOLACRAVEL TP 1L APACE;03/04/2020;ZROH;MAT MED;FR;056;C;VV;3020;V;3,81;BRL;1;C29407541878;D044
10000638;D050;;FITA TESTEP/ACIDO PRACETICO C/100 TIRAS;15/05/2020;ZROH;AC;CX;056;C;PD;3020;V;260,00;BRL;1;C29407541878;D107
10000640;D050;;CLB URINA CSF PROTEINA ABBOTT;12/04/2020;ZROH;AC;KIT;056;C;PD;3000;V;85,05;BRL;1;C29407541878;X001
10000646;D050;;FILME STRECH;04/05/2020;ZROH;RDI;RL;056;C;VV;3000;V;22,00;BRL;1;C29407541878;D044
10000647;D050;;RGT ESTRIOL N CONJ IMM2000 200T SIEMENS;13/05/2020;ZROH;AC;KIT;056;C;PD;3000;V;240,05;BRL;1;C29407541878;D491
10000649;D050;;DISPOSABLE TIPS C/18 QIAGEN;11/05/2020;ZROH;AC;UN;056;B;PD;3000;V;3.869,74;BRL;1;C29407541878;D474
10000650;D050;;RGT COLLECTION TUBE CAP DROP QIAGEN;13/05/2020;ZROH;AC;KIT;056;C;PD;3000;V;3.869,74;BRL;1;C29407541878;D093
10000651;D050;;RGT GLU FLEX 1440T SIEMENS;19/05/2020;ZROH;AC;KIT;056;B;PD;3000;V;132,96;BRL;1;C29407541878;D275
10000658;D050;;COL PERFURO CORTANTE 20L DESCARPACK;13/05/2020;ZROH;MAT MED;UN;056;C;PD;3020;V;5,52;BRL;1;C29407541878;D448
10000662;D050;;ANTICORP CD3 FITC IQP;03/04/2020;ZROH;AC;FR;056;C;ND;3000;V;1.230,00;BRL;1;C29407541878;D492
10000667;D050;;RGT BILIRRUB TOT TBIL 480T SIEMENS;19/05/2020;ZROH;AC;KIT;056;B;PD;3000;V;59,07;BRL;1;C29407541878;D484
